crop,season,concern,count
Cotton (Kapas),Zaid,"Govt Schemes, Insurance & Policy",444
Mango,Zaid,Other Advisory,144
Soybean (bhat),Zaid,Water Management/Irrigation,12
Cotton (Kapas),Rabi,Other Advisory,102
Watermelon,Zaid,Seeds & Varieties,167
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,"Govt Schemes, Insurance & Policy",103
Tomato,Zaid,"Govt Schemes, Insurance & Policy",27
Sorghum (Jowar/Great Millet),Zaid,"Govt Schemes, Insurance & Policy",19
Chillies,Zaid,Market & Price Information,262
Tomato,Kharif,Weather & Climate Advisory,259
Bhindi(Okra/Ladysfinger),Zaid,Unspecified,1106
Brinjal,Zaid,Unspecified,2423
Pomegranate,Kharif,Water Management/Irrigation,54
Turmeric,Zaid,Unspecified,815
Mango,Zaid,Water Management/Irrigation,59
Sugarcane (Noble Cane),Zaid,Unspecified,4240
Tomato,Zaid,Water Management/Irrigation,24
Chillies,Zaid,Weather & Climate Advisory,103
Watermelon,Rabi,Other Advisory,68
Wheat,Zaid,Cultural Practices & Mechanization,285
Turmeric,Zaid,"Govt Schemes, Insurance & Policy",45
Bhindi(Okra/Ladysfinger),Zaid,Water Management/Irrigation,35
Groundnut (pea nut/mung phalli),Zaid,Cultural Practices & Mechanization,1078
Watermelon,Zaid,Cultural Practices & Mechanization,144
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,Unspecified,444
Watermelon,Zaid,Other Advisory,25
Sorghum (Jowar/Great Millet),Zaid,Water Management/Irrigation,31
Maize (Makka),Zaid,Unspecified,538
Wheat,Zaid,Nutrient & Soil Management,50
Sorghum (Jowar/Great Millet),Zaid,Cultural Practices & Mechanization,487
Watermelon,Zaid,Water Management/Irrigation,33
Wheat,Zaid,Other Advisory,73
Brinjal,Zaid,"Govt Schemes, Insurance & Policy",51
Onion,Zaid,"Govt Schemes, Insurance & Policy",160
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,Other Advisory,39
Pomegranate,Zaid,Other Advisory,67
Bhindi(Okra/Ladysfinger),Zaid,Other Advisory,66
Pomegranate,Zaid,Weather & Climate Advisory,73
Tomato,Kharif,"Govt Schemes, Insurance & Policy",35
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,Nutrient & Soil Management,137
Sugarcane (Noble Cane),Zaid,Market & Price Information,58
Brinjal,Kharif,Other Advisory,86
Sugarcane (Noble Cane),Rabi,Other Advisory,71
Watermelon,Rabi,"Govt Schemes, Insurance & Policy",46
Bhindi(Okra/Ladysfinger),Rabi,"Govt Schemes, Insurance & Policy",46
Pomegranate,Rabi,Other Advisory,84
Wheat,Zaid,"Pest, Disease & Weed Mgmt",218
Pigeon pea (red gram/arhar/tur),Kharif,Water Management/Irrigation,425
Tomato,Zaid,Weather & Climate Advisory,65
Soybean (bhat),Zaid,Other Advisory,22
Sorghum (Jowar/Great Millet),Zaid,Unspecified,129
Chillies,Kharif,Weather & Climate Advisory,163
Maize (Makka),Zaid,"Govt Schemes, Insurance & Policy",25
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,Weather & Climate Advisory,155
Maize (Makka),Zaid,Other Advisory,64
Bhindi(Okra/Ladysfinger),Zaid,"Govt Schemes, Insurance & Policy",30
Cotton (Kapas),Zaid,Other Advisory,39
Wheat,Kharif,"Govt Schemes, Insurance & Policy",24
Pigeon pea (red gram/arhar/tur),Rabi,Other Advisory,160
Wheat,Zaid,"Govt Schemes, Insurance & Policy",23
Groundnut (pea nut/mung phalli),Rabi,Other Advisory,23
Maize (Makka),Rabi,Other Advisory,63
Maize (Makka),Kharif,"Govt Schemes, Insurance & Policy",90
Bhindi(Okra/Ladysfinger),Kharif,Other Advisory,57
Sugarcane (Noble Cane),Kharif,Other Advisory,28
Sorghum (Jowar/Great Millet),Kharif,Water Management/Irrigation,52
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,Other Advisory,33
Soybean (bhat),Kharif,Other Advisory,1459
Groundnut (pea nut/mung phalli),Kharif,Other Advisory,31
Mango,Kharif,Water Management/Irrigation,17
Watermelon,Kharif,Weather & Climate Advisory,30
Mango,Kharif,Market & Price Information,25
Chillies,Rabi,"Govt Schemes, Insurance & Policy",37
Turmeric,Kharif,Water Management/Irrigation,168
Sorghum (Jowar/Great Millet),Kharif,Other Advisory,18
Turmeric,Rabi,"Govt Schemes, Insurance & Policy",43
Wheat,Zaid,Water Management/Irrigation,19
Sorghum (Jowar/Great Millet),Zaid,Other Advisory,112
Brinjal,Kharif,"Govt Schemes, Insurance & Policy",30
Wheat,Kharif,Water Management/Irrigation,19
Mango,Zaid,Weather & Climate Advisory,38
Pigeon pea (red gram/arhar/tur),Kharif,Other Advisory,25
Tomato,Zaid,Other Advisory,42
Groundnut (pea nut/mung phalli),Kharif,Water Management/Irrigation,44
Sugarcane (Noble Cane),Kharif,Market & Price Information,43
Tomato,Kharif,Water Management/Irrigation,29
Bhindi(Okra/Ladysfinger),Kharif,Water Management/Irrigation,34
Wheat,Zaid,Weather & Climate Advisory,138
Groundnut (pea nut/mung phalli),Zaid,Other Advisory,133
Sugarcane (Noble Cane),Zaid,Other Advisory,21
Chillies,Kharif,Water Management/Irrigation,40
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,Water Management/Irrigation,3
Watermelon,Zaid,Weather & Climate Advisory,14
Brinjal,Kharif,Water Management/Irrigation,19
Watermelon,Kharif,Water Management/Irrigation,2
Turmeric,Zaid,Water Management/Irrigation,7
Maize (Makka),Zaid,Water Management/Irrigation,37
Pigeon pea (red gram/arhar/tur),Zaid,Other Advisory,8
Watermelon,Kharif,"Govt Schemes, Insurance & Policy",3
Pigeon pea (red gram/arhar/tur),Zaid,Water Management/Irrigation,5
Pomegranate,Zaid,Animal Husbandry,1
